name,price
TVS XL 100,"33,193"
TVS Ntorq 125,"64,332"
TVS Apache RTR 160 4V,"83,191"
TVS Apache RR310,"2,05,000"
TVS Apache RTR 200 4V,"93,280"
TVS Apache RTR 180,"81,774"
TVS Apache RTR 160,"76,520"
TVS XL 100 Heavy Duty,"32,872"
TVS Wego,"54,682"
TVS Jupiter,"52,371"
TVS Scooty Pep Plus,"39,995"
TVS Apache RTR 180 ABS,"92,099"
TVS XL 100 Comfort,"33,193"
TVS Sport,"38,550"
TVS Scooty Zest 110,"51,063"
TVS Star City Plus,"48,116"
TVS Victor,"53,921"
